year,sampling,Aequipecten opercularis,Agonus cataphractus,Alcyonidium diaphanum,Alcyonium digitatum,Amblyraja radiata,Ammodytes marinus,Aphrodita aculeata,Aporrhais pespelecani,Arctica islandica,Arnoglossus laterna,Asterias rubens,Astropecten irregularis,Buccinum undatum,Buglossidium luteum,Callionymus lyra,Callionymus maculatus,Cancer pagurus,Cerebratulus orochi,Chelidonichthys lucerna,Colus gracilis,Corystes cassivelaunus,Diplecogaster bimaculata,Donax vittatus,Echiichthys vipera,Echinocardium cordatum,Ensis ensis,Ensis magnus,Ensis siliqua,Entelurus aequoreus,Epizoanthus papillosus,Euspira catena,Eutrigla gurnardus,Flustra foliacea,Gadus morhua,Gari fervensis,Gymnammodytes semisquamatus,Hiatella arctica,Hyas coarctatus,Hyperoplus lanceolatus,Limanda limanda,Liocarcinus holsatus,Macropodia rostrata,Mactra stultorum,Merlangius merlangus,Neptunea antiqua,Ophiocten sericeum,Ophiothrix fragilis,Ophiura albida,Ophiura ophiura,Ophiura sarsii,Pagurus bernhardus,Pecten maximus,Pleuronectes platessa,Pomatoschistus lozanoi,Pomatoschistus minutus,Pomatoschistus pictus,Psammechinus miliaris,Raja clavata,Solea solea,Steromphala tumida,Syngnathus acus,Syngnathus rostellatus,Acanthodoris pilosa,Alloteuthis media,Alloteuthis subulata,Dosinia exoleta,Echinus esculentus,Electra pilosa,Epizoanthus incrustatus,Euspira montagui,Halichondria panicea,Neanthes fucata,Pomatoceros triqueter,Pomatoschistus microps,Securiflustra securifrons,Sepiola aurantiaca,Sprattus sprattus,Tubulanus superbus,Abietinaria abietina,Ascidiella scabra,Bougainvillia muscus,Callionymus reticulatus,Clupea harengus,Clytia hemisphaerica,Eledone moschata,Eudendrium capillare,Filellum serpens,Halecium beanii,Halecium halecinum,Hydrallmania falcata,Laevicardium crassum,Liocarcinus marmoreus,Liocarcinus pusillus,Liparis liparis,Luidia sarsii,Microstomus kitt,Nemertesia antennina,Obelia geniculata,Podocoryna borealis,Sepiola atlantica,Sertularia cupressina,Spisula subtruncata,Acteon tornatilis,Astarte montagui,Calycella syringa,Cyclopterus lumpus,Ebalia cranchii,Ebalia tumefacta,Enchelyopus cimbrius,Eudendrium rameum,Eunoe nodosa,Gattyana cirrhosa,Harmothoë longisetis,Inachus dorsettensis,Laomedea flexuosa,Molgula occulta,Pectinaria koreni,Philocheras bispinosus,Philocheras trispinosus,Podocoryna carnea,Processa modica,Scaphander lignarius,Sertularella polyzonias,Spisula solida,Trisopterus minutus,Acrocnida brachiata,Ammodytes tobianus,Crangon allmanni,Lophius piscatorius,Nephrops norvegicus,Obelia longissima,Owenia fusiformis,Scomber scombrus,Suberites virgultosus,Acanthocardia echinata,Lutraria lutraria,Melanogrammus aeglefinus,Myoxocephalus scorpius,Obelia dichotoma,Botryllus schlosseri,Galathea intermedia,Kirchenpaueria pinnata,Leptasterias muelleri,Mytilus edulis,Pinnotheres pisum,Pisidia longicornis,Gari tellinella,Inachus phalangium,Liocarcinus depurator,Merluccius merluccius,Sycon ciliatum,Aplidium elegans,Barnea candida,Calliactis parasitica,Diphasia attenuata,Euspira nitida,Hippoglossoides platessoides,Loligo vulgaris,Anapagurus laevis,Glycera lapidum,Necora puber,Pagurus cuanensis,Eulalia viridis,Glycera fallax,Hydractinia echinata,Mullus surmuletus,Pandalina brevirostris,Pandalus montagui,Spirobranchus triqueter,Suberites ficus,Terebellides stroemii,Upogebia deltaura,Varicorbula gibba,Branchiomma bombyx,Membranipora membranacea,Spirobranchus lamarcki,Zeus faber,Atelecyclus rotundatus,Athelges paguri,Balanus crenatus,Bugulina angustiloba,Echinocyamus pusillus,Lepidonotus squamatus,Molgula complanata,Musculus subpictus,Nucula nitidosa,Pilumnus hirtellus,Scrobicularia plana,Semibalanus balanoides,Spisula elliptica,Alcyonium coralloides,Luidia ciliaris,Phascolion strombi,Zirfaea crispata,Coryne muscoides,Onchidoris muricata,Crangon crangon,Ctenolabrus rupestris,Pholis gunnellus,Venerupis corrugata,Zeugopterus norvegicus,Adalaria proxima,Bugulina fulva,Cradoscrupocellaria reptans,Crisularia plumosa,Mysia undata,Scyliorhinus canicula,Scophthalmus maximus,Branchiostoma lanceolatum,Clausinella fasciata,Rolandia coralloides,Botrylloides leachii,Bugula neritina,Bugulina flabellata,Bugulina simplex ,Eunereis longissima ,Inachus leptochirus,Nemertesia ramosa ,Palliolum tigerinum,Steromphala cineraria,Trigla lucerna
1991,20,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,21,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,22,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,23,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,24,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,25,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,26,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,27,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,28,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,29,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,3,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
